"FAOSTATCODE";"COMMODITY";"DEFINITION";"DerivedCode"
"0015";"WHEATTriticum spp.:
common (T. aestivum)
durum (T. durum)
spelt (T. spelta)";"Common and durum wheat are the main types. Among common wheat, the
main varieties are spring and winter, hard and soft, and red and
white. At the national level, different varieties should be reported
separately, reflecting their different uses. Used mainly for human
food.";0
"0016";"Flour of Wheat";"Defined broadly to include meal, groats and pellets. Strong flours
from hard wheat are used for bread, while durum wheat flour is
used primarily for pasta. Weaker flours from soft wheat are mainly
used in cakes, pastries, biscuits and certain noodles.";15
"0017";"Bran of Wheat";"See Chapter 11.";15
"0018";"Macaroni";"Pasta made from semolina, or flour, that is mixed with water and
kneaded into a dough. Other ingredients may be included as well. The
dough is then shaped into various forms. This heading is limited to
macaroni that is not cooked, stuffed or otherwise prepared.";15
"0019";"Germ of Wheat";"The seed embryo. Whole or rolled germ is used for oil extraction by
solvents. Flaked or ground germ is used in bakers' wares, dietetic
preparations, feed supplements and in pharmaceutical preparations.";15
"0020";"Bread";"A baked product of flour or meal of cereals, especially wheat.
Includes ordinary, unleavened, crackers, rusks, etc.";15
"0021";"Bulgur";"Whole wheat grains that are boiled, dried and cracked, either between
stones or in a hand mill. Very popular in the Near East.";15
"0022";"Pastry";"All baked products excluding those listed under bread. Pastry products
may contain ingredients other than wheat flour, such as milk, eggs,
sugar, honey, starch, fats, fruit, seeds, etc.";15
"0023";"Starch of Wheat";"Starch is the carbohydrate component in many plant cells. A white,
odourless powder that is insoluble in cold water, it forms a paste in
hot water. Wheat starch is used for human consumption and animal feed,
and is processed into glucose and dextrine for industrial use. It is
usually obtained from low-quality flour.";15
"0024";"Wheat Gluten";"A by-product of the industrial production of starch, wheat gluten is
the preferred cereal gluten for food purposes. Uses include enriching
protein in flours for bread, pasta, etc.";15
"0026";"Wheat-Fermented Beverages";"See Chapter 15.";15
"0027";"RICE PADDY
Oryza spp., mainly oryza sativa";"Rice grain after threshing and winnowing.Also known as rice in the
husk and rough rice. Used mainly for human food.";0
"0028";"Rice, Husked";"Rice grain without hulls or husks. Also known as brown or cargo rice.";27
"0029";"Rice, Milled (Husked)";"White rice milled from imported husked rice. Includes semi-milled,
whole-milled and parboiled rice.";27
"0031";"Rice, Milled";"White rice milled from locally grown paddy. Includes semi-milled,
whole-milled and parboiled rice.";27
"0032";"Rice, Broken";"Residues from the selection of whole-grain, milled rice.";27
"0033";"Rice, Gluten";"A by-product of the industrial production of starch. Not suitable for
food use.";27
"0034";"Starch of Rice";"See 0023 Rice starch is usually obtained from
broken rice. Use primarily in the photographic industry to prepare ""matt"" paper.";27
"0035";"Bran of Rice";"See Chapter 11.";27
"0036";"Oil of Rice";"See Chapter 6.";27
"0037";"Cake of Rice Bran";"See Chapter 11.";27
"0038";"Flour of Rice";"Produced by milling broken or milled rice. Finely ground rice flour is
widely used in infant foods and in noodles.  It is not used in bread
because it lacks the necessary gluten-forming protein.";27
"0039";"Rice-Fermented Beverages";"See Chapter 15.";27
"0044";"BARLEY
Hordeum spp.: 
two-row barley (H. disticum)
six-row barley (H. hexasticum)
four-row barley (H. vulgare)";"Tolerates poorer soils and lower temperatures better than does wheat.
Varieties include with husk and without (naked). Used as a livestock
feed, for malt and for preparing foods. The roasted grains are a
coffee substitute.";0
"0045";"Pot Barley";"Whole-seed barley with the husks, hulls and bran removed.";44
"0046";"Barley, Pearled";"Small, round pellets obtained by the further milling of pot barley.
This definition also includes kibbled, rolled or flaked grains.";44
"0047";"Bran of Barley";"See Chapter 11.";44
"0048";"Barley Flour and Grits";"Fine flour and course meal obtained as milling by-products of pearled
barley.";44
"0049";"Malt";"A grain - usually barley - that has been germinated through a soaking
process and then dried. Malt is used in brewing and distilling, and as
a nutrient additive. Includes whole, ground, flour, and roasted malt,
but excludes extracts and preparations.";44
"0050";"Malt Extract";"A concentrated solution from water-macerated malt, which is used in
infant and dietetic foods and in bread baking.";44
"0051";"Beer of Barley";"See Chapter 15.";44
"0056";"MAIZE
Zea mays
Corn, Indian corn, mealies";"A grain with a high germ content. At the national level, hybrid and
ordinary maize should be reported separately owing to widely different
yields and uses. Used largely for animal feed and commercial starch
production.";0
"0057";"Germ of Maize";"The seed embryo that is separated during processing and is valued
mainly for its oil.";56
"0058";"Flour of Maize";"Broadly defined to include meal, groats and pellets.";56
"0059";"Bran of Maize";"See Chapter 11.";56
"0060";"Oil of Maize";"See Chapter 6.";56
"0061";"Cake of Maize";"See Chapter 11.";56
"0063";"Maize Gluten";"Maize protein is often called gluten, although it lacks the quality
characteristics of wheat gluten. It is separated from maize during
commercial wet milling and used to enrich animal feeds.";56
"0064";"Starch of Maize";"See 0023.
The primary product of the large- scale industrial
wet-milling process. Used mainly for the production of glucose,
dextrin and alcohol.";56
"0066";"Beer of Maize";"See Chapter 15.";56
"0067";"WHITE MAIZE";"Although separate data are reported for white maize production owing
to its regional importance, its production is also included in 0056.";56
