"IncludedInCode";"IncludedInName";"ProductName";"ProductCode";"DerivedCode";"DerivedIncludedInCode"
"2659";"Alcohol, Non-Food";"632 Alcohol non food";632;NA;NA
"2617";"Apples and products";"515 Apples";515;0;NA
"2617";"Apples and products";"518 Juice, apple, single strength";518;515;"2617"
"2617";"Apples and products";"519 Juice, apple, concentrated";519;515;"2617"
"2769";"Aquatic Animals, Others";"1587 Aqutc Anim F";1587;NA;NA
"2769";"Aquatic Animals, Others";"1588 Aq A Cured";1588;NA;NA
"2769";"Aquatic Animals, Others";"1589 Aquatic Animals Meals";1589;NA;NA
"2769";"Aquatic Animals, Others";"1590 Aq A Prep Ns";1590;NA;NA
"2775";"Aquatic Plants";"1594 Aquatic plants, fresh";1594;NA;NA
"2775";"Aquatic Plants";"1595 Aquatic plants, dried";1595;NA;NA
"2775";"Aquatic Plants";"1596 Aquatic plants, other preparations";1596;NA;NA
"2615";"Bananas";"486 Bananas";486;0;NA
"2513";"Barley and products";"44 Barley";44;0;NA
"2513";"Barley and products";"45 Barley, pot";45;44;"2513"
"2513";"Barley and products";"46 Barley, pearled";46;44;"2513"
"2513";"Barley and products";"49 Malt";49;44;"2513"
"2513";"Barley and products";"50 Malt extract";50;44;"2513"
"2513";"Barley and products";"47 Bran, barley";47;44;"2513"
"2513";"Barley and products";"48 Flour, barley and grits";48;44;"2513"
"2546";"Beans";"176 Beans, dry";176;0;NA
"2656";"Beer";"51 Beer of barley";51;44;"2513"
"2658";"Beverages, Alcoholic";"634 Beverages, distilled alcoholic";634;NA;NA
"2657";"Beverages, Fermented";"26 Beverages, fermented wheat";26;15;"2511"
"2657";"Beverages, Fermented";"39 Beverages, fermented rice";39;27;"2805"
"2657";"Beverages, Fermented";"66 Beer of maize";66;56;"2514"
"2657";"Beverages, Fermented";"82 Beer of millet";82;79;"2517"
"2657";"Beverages, Fermented";"86 Beer of sorghum";86;83;"2518"
"2657";"Beverages, Fermented";"517 Cider etc";517;515;"2617"
"2731";"Bovine Meat";"867 Meat, cattle";867;0;NA
"2731";"Bovine Meat";"870 Meat, cattle, boneless (beef and veal)";870;0;NA
"2731";"Bovine Meat";"872 Meat, beef, dried, salted, smoked";872;870;"2731"
"2731";"Bovine Meat";"873 Meat, extracts";873;870;"2731"
"2731";"Bovine Meat";"874 Meat, beef and veal sausages";874;870;"2731"
"2731";"Bovine Meat";"875 Meat, beef, preparations";875;870;"2731"
"2731";"Bovine Meat";"876 Meat, beef, canned";876;NA;NA
"2731";"Bovine Meat";"877 Meat, homogenized preparations";877;870;"2731"
"2731";"Bovine Meat";"947 Meat, buffalo";947;0;NA
"2740";"Butter, Ghee";"886 Butter, cow milk";886;882;"2848"
"2740";"Butter, Ghee";"887 Ghee, butteroil of cow milk";887;882;"2848"
"2740";"Butter, Ghee";"952 Butter, buffalo milk";952;951;"2848"
"2740";"Butter, Ghee";"953 Ghee, of buffalo milk";953;951;"2848"
"2740";"Butter, Ghee";"983 Butter and ghee, sheep milk";983;982;"2848"
"2740";"Butter, Ghee";"1022 Butter of goat mlk";1022;1020;"2848"
"2532";"Cassava and products";"125 Cassava";125;0;NA
"2532";"Cassava and products";"126 Flour, cassava";126;125;"2532"
"2532";"Cassava and products";"127 Tapioca, cassava";127;125;"2532"
"2532";"Cassava and products";"128 Cassava dried";128;125;"2532"
"2532";"Cassava and products";"129 Starch, cassava";129;125;"2532"
"2766";"Cephalopods";"1570 Cephlp Fresh";1570;NA;NA
"2766";"Cephalopods";"1571 Cphlp Frozen";1571;NA;NA
"2766";"Cephalopods";"1572 Cphlp Cured";1572;NA;NA
"2766";"Cephalopods";"1573 Cphlp Canned";1573;NA;NA
"2766";"Cephalopods";"1574 Cphlp Pr nes";1574;NA;NA
