"IncludedInCode";"IncludedInName";"IncludedNames";"FoodInclProcessed";"DependsOnCode";"ProcessedAppearsInCode";"DependsOnName";"ProcessedAppearsInName"
"2511";"Wheat and products";"110 Wafers, 114 Mixes and doughs, 115 Food preparations, flour, malt extract, 15 Wheat, 16 Flour, wheat, 17 Bran, wheat, 18 Macaroni, 19 Germ, wheat, 20 Bread, 21 Bulgur, 22 Pastry, 23 Starch, wheat, 24 Gluten, wheat, 41 Cereals, breakfast";TRUE;"2520";"2657";"Cereals, Other";"Beverages, Fermented"
"2513";"Barley and products";"44 Barley, 45 Barley, pot, 46 Barley, pearled, 47 Bran, barley, 48 Flour, barley and grits, 49 Malt, 50 Malt extract";TRUE;"";"2656";NA;"Beer"
"2514";"Maize and products";"56 Maize, 57 Germ, maize, 58 Flour, maize, 59 Bran, maize, 63 Gluten, maize, 64 Starch, maize, 846 Feed and meal, gluten";TRUE;"2520";"2657, 2582";"Cereals, Other";NA
"2515";"Rye and products";"71 Rye, 72 Flour, rye, 73 Bran, rye";TRUE;"";"";NA;NA
"2516";"Oats";"75 Oats, 76 Oats rolled, 77 Bran, oats";TRUE;"";"";NA;NA
"2517";"Millet and products";"79 Millet, 80 Flour, millet, 81 Bran, millet";TRUE;"";"2657";NA;"Beverages, Fermented"
"2518";"Sorghum and products";"83 Sorghum, 84 Flour, sorghum, 85 Bran, sorghum";TRUE;"";"2657";NA;"Beverages, Fermented"
"2520";"Cereals, Other";"101 Canary seed, 103 Grain, mixed, 104 Flour, mixed grain, 105 Bran, mixed grains, 108 Cereals, nes, 111 Flour, cereals, 112 Bran, cereals nes, 113 Cereal preparations, nes, 68 Popcorn, 89 Buckwheat, 90 Flour, buckwheat, 91 Bran, buckwheat, 92 Quinoa, 94 Fonio, 95 Flour, fonio, 96 Bran, fonio, 97 Triticale, 98 Flour, triticale, 99 Bran, triticale";TRUE;"";"2680, 2514, 2511";NA;NA
"2531";"Potatoes and products";"116 Potatoes, 117 Flour, potatoes, 118 Potatoes, frozen, 119 Starch, potatoes, 121 Tapioca, potatoes";TRUE;"";"";NA;NA
"2532";"Cassava and products";"125 Cassava, 126 Flour, cassava, 127 Tapioca, cassava, 128 Cassava dried, 129 Starch, cassava";TRUE;"";"";NA;NA
